DateTime	Peak at 1452 cm-1
00:00:10.605	5.916431450665E-05
00:00:25.642	0.235971948345065
00:00:40.576	0.235768897091571
00:00:55.600	0.20080969076927
00:01:10.634	0.198539315658744
00:01:25.553	0.196519036214904
00:01:40.603	0.195266732766998
00:01:55.579	0.195730496614704
00:02:10.525	0.195761594493297
00:02:25.546	0.196714978368997
00:02:40.543	0.197999499048013
00:02:55.494	0.199420917605005
00:03:10.508	0.201491850485305
00:03:25.486	0.201636708185638
00:03:40.465	0.195954773682052
00:03:55.457	0.191396184424053
00:04:10.499	0.186524282624926
00:04:25.478	0.181489835930621
00:04:40.417	0.178144791810645
00:04:55.450	0.175496196980453
00:05:10.438	0.173848344249402
00:05:25.377	0.173575198803612
00:05:40.413	0.173083742981739
00:05:55.394	0.173443900380305
00:06:10.342	0.174285912423946
00:06:25.353	0.174307426340383
00:06:40.353	0.174861787220829
00:06:55.298	0.175299402467014
00:07:10.309	0.175419452019327
00:07:25.270	0.175850526645776
00:07:40.274	0.176320502005304
00:07:55.700	0.176932993067465
00:08:10.731	0.177538404829757
00:08:25.647	0.177831635593207
00:08:40.688	0.177891300130381
00:08:55.668	0.178098301407344
00:09:10.606	0.178360334923818
00:09:25.641	0.178564027188293
00:09:40.625	0.178723300535744
00:09:55.556	0.178121122428022
00:10:10.594	0.177685593129636
00:10:25.576	0.175882793804148
00:10:40.514	0.174290324935281
00:10:55.536	0.172649219588736
00:11:10.528	0.167324971908971
00:11:25.467	0.165965819568009
00:11:40.489	0.16571343359085
00:11:55.470	0.16634454727058
00:12:10.412	0.167106423419064
00:12:25.443	0.167588458245679
00:12:40.428	0.167704524744489
00:12:55.363	0.16842747904953
00:13:11.927	0.0320774543285036
00:13:25.576	0
00:13:40.546	-0.000118404580835316
00:13:55.538	0.000152044449274182
00:14:10.535	0.000729812020103624
00:14:25.495	0.00138313796798278
00:14:40.499	0.00200138149650678
00:14:55.483	0.00281746707371163
00:15:10.462	0.00342050943336897
00:15:25.448	0.00395272292035603
00:15:40.404	0.00439911425821324
00:15:55.422	0.0049636167666698
00:16:10.370	0.00501032116031589
00:16:25.363	0.00577924419269766
00:16:40.802	0.00613905149261154
00:16:55.787	0.00622689721056738
00:17:10.727	0.00677847250196642
00:17:25.766	0.00734741880906505
00:17:40.691	0.00744345082114515
00:17:55.685	0.00752613928021105
00:18:10.725	0.00773693195283432
00:18:25.648	0.00797136921584079
00:18:40.635	0.00811168434199871
00:18:55.592	0.00840675254679537
00:19:10.601	0.00805856374264039
00:19:25.557	0.00844579453547098
00:19:40.571	0.00889458958526357
00:19:55.566	0.00884335105601568
00:20:10.521	0.0091315087803123
00:20:25.507	0.00924973349956266
00:20:40.461	0.0094812065860497
00:20:55.493	0.0095082949266371
00:21:10.424	0.0100130305140048
00:21:25.454	0.0101998044361005
00:21:40.885	0.0102286265863768
00:21:55.873	0.0104568485511247
00:22:10.804	0.0107969695564978
00:22:25.794	0.0108131452910906
00:22:40.749	0.0111594616751065
00:22:55.765	0.0109460273035555
00:23:10.712	0.0111978638008116
00:23:25.738	0.0112859168515388
00:23:40.733	0.0118327465450544
00:23:55.657	0.0120388809504855
00:24:10.654	0.0120513825901062
00:24:25.608	0.0119557232022633
00:24:40.643	0.0122926359474456
00:24:55.635	0.0125883056054121
00:25:10.544	0.0127053506879085
00:25:25.520	0.0129288393248794
00:25:40.521	0.0124779716146279
00:25:55.509	0.0127750519150856
00:26:10.494	0.0131045781784037
00:26:25.929	0.0131903102828131
00:26:40.923	0.0135177060227253
00:26:55.850	0.0137486860394135
00:27:10.857	0.0137947595889991
00:27:25.789	0.0138308747841804
00:27:40.787	0.0141103341323348
00:27:55.744	0.0140725991772567
00:28:10.746	0.0142477079336712
00:28:25.697	0.0143934110278285
00:28:40.722	0.0145231838933103
00:28:55.714	0.014871227298519
00:29:10.637	0.0149997740417634
00:29:25.602	0.0148161809417712
00:29:40.631	0.0150368350779911
00:29:55.622	0.0152229204524538
00:30:10.534	0.0154695176420569
00:30:25.514	0.0155475624166919
00:30:40.929	0.0159470354835281
00:30:55.947	0.0159225325898805
00:31:10.878	0.0160454970749053
00:31:25.862	0.0163666736698691
00:31:40.834	0.0166285586847796
00:31:55.847	0.0166985259077036
00:32:10.861	0.016676735734557
00:32:25.788	0.0166403678438579
00:32:40.794	0.0170690537185839
00:32:55.720	0.0167763710375376
00:33:10.750	0.0171466878110468
00:33:25.673	0.0171592882046293
00:33:40.674	0.0174314544563958
00:33:55.614	0.017612886936805
00:34:10.659	0.0178869297826992
00:34:25.585	0.017992624608933
00:34:40.977	0.0185129988825224
00:34:55.949	0.0183238377172577
00:35:10.951	0.0186809912459582
00:35:25.901	0.0185417422275811
00:35:40.879	0.018565940301423
00:35:55.849	0.0189926581158383
00:36:10.862	0.0188049231750563
00:36:25.798	0.0189536610142254
00:36:40.795	0.0194287126344112
00:36:55.748	0.0192187830335084
00:37:10.753	0.0194186476340524
00:37:25.693	0.0194586051335204
00:37:40.679	0.0197255909936341
00:37:55.645	0.0199124800883714
00:38:10.662	0.0199081154235653
00:38:25.589	0.0201980333757268
00:38:41.045	0.0201795881794042
00:38:56.039	0.0203144132720009
00:39:10.955	0.0202259926668413
00:39:25.914	0.0204376784233308
00:39:40.884	0.0206316059850019
00:39:55.854	0.0208184148247362
00:40:10.865	0.0209094428768918
00:40:25.798	0.0211010129731585
00:40:40.802	0.0210117628185
00:40:55.741	0.0210743948107927
00:41:10.756	0.0213099828110199
00:41:25.686	0.021276324568754
00:41:40.684	0.0215438018672408
