3,2396.0
4,2390.0
5,2392.0
6,2388.0
7,2385.0
8,2384.0
9,2382.0
10,2380.0
11,2378.0
12,2376.0
13,2374.0
14,2372.0
15,2370.0
16,2368.0
17,2367.0
18,2365.0
19,2363.0
20,2361.0
21,2359.0
22,2357.0
23,2356.0
24,2354.0
25,2352.0
26,2350.0
27,2348.0
28,2345.0
29,2342.0
30,2340.0
31,2337.0
32,2335.0
33,2333.0
34,2331.0
35,2329.0
36,2327.0
37,2326.0
38,2323.0
39,2320.0
40,2318.0
41,2316.0
42,2314.0
43,2312.0
44,2310.0
45,2308.0
46,2306.0
47,2304.0
48,2302.0
49,2300.0
50,2298.0
51,2296.0
52,2294.0
53,2292.0
54,2290.0
55,2288.0
56,2286.0
57,2284.0
58,2283.0
59,2281.0
60,2279.0
61,2277.0
62,2275.0
63,2273.0
64,2270.0
65,2269.0
66,2267.0
67,2265.0
68,2263.0
69,2261.0
70,2259.0
71,2257.0
72,2255.0
73,2253.0
74,2251.0
75,2249.0
76,2247.0
77,2245.0
78,2244.0
79,2242.0
80,2240.0
81,2238.0
82,2236.0
83,2234.0
84,2233.0
85,2231.0
86,2229.0
87,2227.0
88,2225.0
89,2223.0
90,2221.0
91,2219.0
92,2217.0
93,2215.0
94,2213.0
95,2211.0
96,2209.0
97,2207.0
98,2205.0
99,2203.0
100,2201.0
101,2198.0
102,2196.0
103,2194.0
104,2192.0
105,2190.0
106,2188.0
107,2186.0
108,2184.0
109,2182.0
110,2180.0
111,2178.0
112,2176.0
113,2174.0
114,2172.0
115,2170.0
116,2168.0
117,2166.0
118,2164.0
119,2162.0
120,2160.0
121,2158.0
122,2156.0
123,2154.0
124,2152.0
125,2150.0
126,2148.0
127,2146.0
128,2144.0
129,2142.0
130,2141.0
131,2139.0
132,2137.0
133,2134.0
134,2132.0
135,2130.0
136,2128.0
137,2126.0
138,2124.0
139,2122.0
140,2121.0
141,2119.0
142,2117.0
143,2115.0
144,2112.0
145,2111.0
146,2109.0
147,2107.0
148,2105.0
149,2103.0
150,2101.0
151,2099.0
152,2097.0
153,2095.0
154,2093.0
155,2092.0
156,2090.0
157,2088.0
158,2086.0
159,2084.0
160,2083.0
161,2081.0
162,2079.0
163,2076.0
164,2075.0
165,2073.0
166,2071.0
167,2069.0
168,2066.0
169,2064.0
170,2063.0
171,2060.0
172,2059.0
173,2056.0
174,2055.0
175,2053.0
176,2050.0
177,2049.0
178,2047.0
179,2044.0
180,2043.0
181,2041.0
182,2039.0
183,2037.0
184,2035.0
185,2033.0
186,2031.0
187,2029.0
188,2027.0
189,2025.0
190,2023.0
191,2022.0
192,2020.0
193,2018.0
194,2016.0
195,2015.0
196,2013.0
197,2012.0
198,2010.0
199,2008.0
200,2007.0
201,2005.0
202,2003.0
203,2002.0
204,2000.0
205,1998.0
206,1996.0
207,1994.0
208,2015.0
209,2014.0
210,2013.0
211,2012.0
212,2010.0
213,2008.0
214,2006.0
215,2004.0
216,2003.0
217,2001.0
218,1999.0
219,1997.0
220,1995.0
221,1993.0
222,1991.0
223,1989.0
224,1987.0
225,1985.0
226,1984.0
227,1982.0
228,1980.0
229,1978.0
230,1976.0
231,1974.0
232,1973.0
233,1971.0
234,1969.0
235,1968.0
236,1966.0
237,1964.0
238,1962.0
239,1960.0
240,1959.0
241,1957.0
242,1955.0
243,1953.0
244,1952.0
245,1950.0
246,1948.0
247,1946.0
248,1944.0
249,1943.0
250,1941.0
251,1939.0
252,1937.0
253,1935.0
254,1934.0
255,1932.0
256,1930.0
257,1928.0
258,1926.0
259,1925.0
260,1923.0
261,1920.0
262,1918.0
263,1916.0
264,1915.0
265,1914.0
266,1912.0
267,1910.0
268,1908.0
269,1907.0
270,1905.0
271,1904.0
272,1902.0
273,1900.0
274,1899.0
275,1897.0
276,1895.0
277,1894.0
278,1892.0
279,1891.0
280,1889.0
281,1887.0
282,1886.0
283,1884.0
284,1882.0
285,1881.0
286,1879.0
287,1877.0
288,1875.0
289,1874.0
290,1872.0
291,1870.0
292,1868.0
293,1866.0
294,1864.0
295,1862.0
296,1861.0
297,1859.0
298,1858.0
299,1856.0
300,1854.0
301,1853.0
302,1851.0
303,1850.0
304,1848.0
305,1846.0
306,1845.0
307,1843.0
308,1842.0
309,1840.0
310,1839.0
311,1837.0
312,1836.0
313,1834.0
314,1832.0
315,1831.0
316,1829.0
317,1828.0
318,1826.0
319,1824.0
320,1823.0
321,1822.0
322,1820.0
323,1818.0
324,1817.0
325,1815.0
326,1813.0
327,1812.0
328,1810.0
329,1809.0
330,1807.0
331,1805.0
332,1804.0
333,1802.0
334,1801.0
335,1799.0
336,1797.0
337,1796.0
338,1794.0
339,1792.0
340,1791.0
341,1789.0
342,1788.0
343,1786.0
344,1785.0
345,1783.0
346,1781.0
347,1780.0
348,1778.0
349,1777.0
350,1775.0
351,1774.0
352,1773.0
353,1771.0
354,1769.0
355,1768.0
356,1767.0
357,1765.0
358,1764.0
359,1763.0
360,1761.0
361,1760.0
362,1758.0
363,1757.0
364,1755.0
365,1754.0
366,1752.0
367,1751.0
368,1749.0
369,1748.0
370,1746.0
371,1745.0
372,1743.0
373,1742.0
374,1740.0
375,1738.0
376,1737.0
377,1735.0
378,1734.0
379,1733.0
380,1731.0
381,1730.0
382,1728.0
383,1727.0
384,1726.0
385,1725.0
386,1724.0
387,1723.0
388,1721.0
389,1720.0
390,1719.0
391,1718.0
392,1716.0
393,1715.0
394,1713.0
395,1712.0
396,1710.0
397,1709.0
398,1708.0
399,1707.0
400,1706.0
401,1704.0
402,1703.0
